iter	Passed	Remaining
156	2668	39824
157	2684	39795
158	2699	39743
159	2713	39689
160	2728	39640
161	2743	39593
162	2757	39540
163	2772	39488
164	2787	39454
165	2804	39425
166	2820	39398
167	2835	39362
168	2850	39311
169	2864	39260
170	2880	39232
171	2894	39177
172	2910	39142
173	2924	39097
174	2938	39045
175	2952	38986
176	2968	38954
177	2983	38921
178	2999	38886
179	3013	38845
180	3029	38812
181	3044	38770
182	3058	38725
183	3073	38686
184	3088	38644
185	3101	38588
186	3117	38555
187	3132	38526
188	3147	38491
189	3161	38440
190	3173	38366
191	3185	38293
192	3197	38218
193	3208	38139
194	3221	38083
195	3235	38032
196	3247	37970
197	3259	37901
198	3272	37839
199	3284	37772
200	3295	37695
201	3307	37624
202	3319	37564
203	3332	37501
204	3343	37435
205	3355	37370
206	3367	37304
207	3379	37238
208	3391	37177
209	3401	37096
210	3416	37061
211	3428	36997
212	3440	36936
213	3452	36885
214	3466	36840
215	3479	36793
216	3493	36755
217	3506	36707
218	3521	36677
219	3534	36627
220	3545	36566
221	3558	36510
222	3570	36461
223	3583	36406
224	3597	36370
225	3610	36331
226	3624	36294
227	3637	36249
228	3649	36191
229	3663	36160
230	3678	36131
231	3694	36116
232	3708	36086
233	3722	36049
234	3736	36017
235	3750	35980
236	3764	35943
237	3778	35907
238	3792	35879
239	3808	35862
240	3822	35834
241	3839	35828
242	3853	35792
243	3868	35771
244	3884	35755
245	3900	35737
246	3916	35720
247	3931	35697
248	3945	35671
249	3960	35647
250	3974	35613
251	3990	35601
252	4006	35585
253	4020	35555
254	4036	35533
255	4050	35508
256	4065	35484
257	4081	35468
258	4095	35435
259	4110	35416
260	4128	35415
261	4142	35389
262	4159	35375
263	4175	35362
264	4189	35330
265	4202	35297
266	4216	35265
267	4233	35259
268	4247	35230
269	4262	35206
270	4277	35179
271	4291	35150
272	4306	35126
273	4321	35111
274	4336	35085
275	4351	35063
276	4364	35029
277	4379	35001
278	4395	34988
279	4410	34965
280	4425	34945
281	4438	34910
282	4452	34879
283	4466	34853
284	4482	34837
285	4498	34820
286	4511	34790
287	4526	34767
288	4543	34760
289	4557	34734
290	4575	34730
291	4588	34697
292	4602	34664
293	4616	34636
294	4632	34622
295	4646	34600
296	4660	34571
297	4674	34543
298	4688	34515
299	4703	34493
300	4716	34460
301	4730	34426
302	4744	34402
303	4758	34376
304	4772	34344
305	4785	34312
306	4800	34294
307	4817	34283
308	4830	34249
309	4843	34218
310	4858	34198
311	4873	34175
312	4888	34154
313	4902	34131
314	4917	34107
315	4930	34076
316	4973	34251
317	5003	34331
318	5029	34384
319	5044	34367
320	5062	34362
321	5077	34342
322	5091	34315
323	5107	34302
324	5123	34285
325	5137	34263
326	5153	34246
327	5167	34221
328	5182	34198
329	5196	34171
330	5213	34161
331	5228	34140
332	5244	34126
333	5259	34108
334	5275	34090
335	5291	34077
336	5306	34059
337	5322	34048
338	5340	34040
339	5355	34020
340	5370	34002
341	5385	33979
342	5400	33964
343	5415	33944
344	5433	33940
345	5448	33918
346	5463	33899
347	5477	33873
348	5492	33854
349	5507	33830
350	5521	33803
351	5535	33777
352	5551	33764
353	5567	33752
354	5582	33728
355	5597	33710
356	5611	33685
357	5625	33660
358	5641	33645
359	5656	33622
360	5670	33601
361	5685	33578
362	5699	33553
363	5714	33536
364	5730	33520
365	5745	33501
366	5760	33477
367	5774	33454
368	5789	33435
369	5803	33409
370	5819	33396
371	5834	33378
372	5850	33360
373	5864	33339
374	5878	33310
375	5893	33293
376	5908	33272
377	5925	33262
378	5941	33250
379	5958	33241
380	5974	33226
381	5987	33198
382	6001	33173
383	6016	33152
384	6031	33134
385	6045	33111
386	6059	33086
387	6075	33070
388	6090	33049
389	6104	33028
390	6118	33002
391	6135	32993
392	6149	32971
393	6164	32950
394	6178	32925
395	6191	32898
396	6206	32877
397	6222	32862
398	6238	32849
399	6252	32823
400	6267	32804
401	6282	32789
402	6298	32771
403	6312	32751
404	6327	32730
405	6341	32706
406	6354	32679
407	6368	32654
408	6382	32632
409	6398	32617
410	6412	32592
411	6427	32572
412	6440	32547
413	6454	32521
414	6467	32493
415	6482	32473
416	6498	32459
417	6512	32435
418	6526	32413
419	6540	32389
420	6555	32372
421	6569	32351
422	6584	32328
423	6598	32309
424	6613	32288
425	6630	32281
426	6646	32269
427	6661	32246
428	6674	32221
429	6688	32199
430	6704	32182
431	6718	32162
432	6732	32138
433	6745	32111
434	6758	32083
435	6772	32060
436	6786	32039
437	6802	32024
438	6816	32000
439	6830	31978
440	6845	31962
441	6861	31945
442	6876	31931
443	6891	31910
444	6906	31891
445	6925	31894
446	6940	31874
447	6954	31853
448	6968	31830
449	6982	31811
450	6998	31798
451	7012	31775
452	7028	31762
453	7043	31744
454	7058	31726
455	7074	31712
456	7089	31692
457	7103	31672
458	7118	31653
459	7134	31639
460	7151	31629
461	7166	31613
462	7181	31597
463	7196	31577
464	7210	31557
465	7226	31542
466	7240	31519
467	7255	31501
468	7269	31480
469	7286	31472
470	7302	31459
471	7318	31446
472	7334	31433
473	7351	31421
474	7366	31403
475	7381	31386
476	7395	31364
477	7411	31350
478	7428	31343
479	7442	31320
480	7456	31299
481	7471	31280
482	7484	31257
483	7499	31236
484	7514	31218
485	7529	31203
486	7545	31189
487	7561	31175
488	7576	31160
489	7592	31145
490	7609	31133
491	7622	31110
492	7637	31092
493	7652	31073
494	7667	31057
495	7682	31038
496	7697	31023
497	7713	31010
498	7729	30994
499	7746	30985
500	7763	30975
501	7779	30964
502	7795	30947
503	7811	30934
504	7827	30924
505	7844	30910
506	7861	30901
507	7879	30896
508	7895	30884
509	7912	30873
510	7928	30859
511	7944	30847
512	7961	30838
513	7979	30830
514	7996	30820
515	8012	30808
516	8028	30794
517	8045	30782
518	8061	30770
519	8076	30754
520	8091	30737
521	8108	30724
522	8126	30718
523	8142	30706
524	8157	30688
525	8174	30676
526	8190	30664
527	8210	30663
528	8227	30653
529	8245	30648
530	8263	30641
531	8279	30627
532	8294	30611
533	8311	30601
534	8329	30593
535	8345	30579
536	8361	30564
537	8376	30546
538	8392	30534
539	8409	30523
540	8425	30510
541	8441	30494
542	8457	30481
543	8471	30460
544	8487	30446
545	8503	30431
546	8519	30417
547	8535	30403
548	8551	30388
549	8567	30375
550	8585	30367
551	8600	30351
552	8616	30335
553	8631	30319
554	8649	30312
555	8666	30302
556	8681	30285
557	8697	30271
558	8714	30260
559	8730	30246
560	8746	30229
561	8762	30215
562	8778	30201
563	8795	30191
564	8810	30174
565	8826	30158
566	8842	30144
567	8857	30128
568	8873	30114
569	8889	30098
570	8903	30079
571	8917	30058
572	8933	30041
573	8949	30029
574	8964	30011
575	8980	29997
576	8993	29974
577	9008	29956
578	9022	29935
579	9037	29917
580	9051	29896
581	9065	29875
582	9078	29851
583	9091	29827
584	9105	29807
585	9120	29790
586	9134	29769
587	9149	29752
588	9165	29736
589	9178	29715
590	9192	29694
591	9206	29672
592	9219	29649
593	9234	29632
594	9249	29612
595	9263	29592
596	9276	29571
597	9290	29549
598	9304	29528
599	9318	29510
600	9332	29489
601	9345	29465
602	9360	29446
603	9376	29433
604	9390	29413
605	9405	29397
606	9419	29374
607	9433	29356
608	9449	29340
609	9464	29323
610	9478	29303
611	9492	29282
612	9507	29267
613	9522	29250
614	9537	29231
615	9550	29208
616	9564	29188
617	9577	29165
618	9593	29152
619	9606	29130
620	9620	29108
621	9635	29091
622	9649	29072
623	9663	29051
624	9677	29031
625	9690	29009
626	9705	28992
627	9721	28977
628	9735	28958
629	9749	28939
630	9764	28922
631	9779	28905
632	9794	28887
633	9807	28865
634	9821	28846
635	9836	28828
636	9850	28810
637	9864	28790
638	9877	28767
639	9892	28748
640	9905	28727
641	9919	28709
642	9933	28688
643	9946	28666
644	9960	28645
645	9975	28628
646	9991	28615
647	10007	28601
648	10022	28584
649	10037	28569
650	10052	28552
651	10069	28541
652	10085	28526
653	10100	28509
654	10114	28491
655	10128	28471
656	10143	28454
657	10158	28437
658	10171	28415
659	10184	28394
660	10199	28375
661	10214	28360
662	10228	28340
663	10243	28322
664	10258	28306
665	10271	28285
666	10285	28265
667	10299	28247
668	10314	28231
669	10328	28210
670	10341	28189
671	10356	28171
672	10371	28154
673	10387	28140
674	10403	28127
675	10418	28111
676	10433	28095
677	10448	28077
678	10464	28064
679	10479	28047
680	10493	28028
681	10507	28009
682	10520	27988
683	10535	27972
684	10550	27955
685	10565	27938
686	10580	27922
687	10594	27902
688	10607	27881
689	10621	27861
690	10635	27843
691	10650	27827
692	10665	27810
693	10679	27791
694	10692	27770
695	10707	27754
696	10722	27736
697	10735	27714
698	10749	27696
699	10762	27675
700	10776	27656
701	10789	27635
702	10803	27616
703	10817	27597
704	10832	27581
705	10848	27566
706	10861	27545
707	10875	27527
708	10891	27513
709	10905	27494
710	10919	27474
711	10936	27463
712	10951	27446
713	10964	27427
714	10979	27409
715	10993	27391
716	11008	27374
717	11022	27357
718	11037	27340
719	11051	27322
720	11065	27303
721	11080	27286
722	11095	27271
723	11109	27252
724	11123	27232
725	11138	27217
726	11152	27197
727	11165	27177
728	11178	27157
729	11194	27142
730	11209	27126
731	11224	27110
732	11238	27091
733	11252	27073
734	11266	27054
735	11280	27035
736	11292	27014
737	11306	26994
738	11322	26980
739	11336	26962
740	11350	26944
741	11363	26924
742	11377	26905
743	11391	26885
744	11404	26864
745	11418	26846
746	11431	26827
747	11446	26810
748	11460	26792
749	11474	26773
750	11488	26756
751	11502	26736
752	11515	26716
753	11530	26700
754	11546	26687
755	11563	26674
756	11577	26658
757	11594	26646
758	11608	26627
759	11624	26612
760	11637	26593
761	11652	26577
762	11666	26558
763	11682	26546
764	11697	26528
765	11711	26512
766	11725	26492
767	11740	26476
768	11754	26459
769	11769	26442
770	11782	26423
771	11800	26414
772	11813	26394
773	11828	26376
774	11841	26357
775	11856	26340
776	11869	26321
777	11884	26305
778	11898	26286
779	11912	26268
780	11925	26248
781	11939	26229
782	11952	26210
783	11967	26194
784	11982	26178
785	11996	26160
786	12011	26143
787	12026	26128
788	12041	26111
789	12054	26093
790	12068	26074
791	12081	26055
792	12096	26038
793	12110	26020
794	12124	26003
795	12138	25985
796	12152	25966
797	12164	25945
798	12177	25925
799	12191	25906
800	12204	25886
801	12218	25869
802	12232	25850
803	12245	25831
804	12259	25812
805	12272	25793
806	12287	25777
807	12300	25758
808	12314	25739
809	12328	25723
810	12341	25703
811	12356	25687
812	12370	25668
813	12383	25648
814	12397	25631
815	12411	25614
816	12425	25595
817	12438	25576
818	12453	25560
819	12467	25542
820	12481	25525
821	12495	25508
822	12510	25491
823	12525	25475
824	12539	25459
825	12555	25446
826	12570	25430
827	12584	25412
828	12599	25396
829	12612	25376
830	12625	25357
831	12638	25338
832	12653	25322
833	12667	25304
834	12683	25290
835	12698	25275
836	12712	25257
837	12725	25238
838	12739	25220
839	12754	25205
840	12768	25187
841	12783	25171
842	12796	25152
843	12810	25135
844	12825	25118
845	12838	25101
846	12852	25082
847	12866	25064
848	12880	25048
849	12896	25033
850	12913	25023
851	12928	25007
852	12942	24989
853	12956	24971
854	12969	24953
855	12984	24938
856	12998	24920
857	13011	24901
858	13025	24883
859	13038	24864
860	13051	24845
861	13065	24827
862	13079	24809
863	13093	24792
864	13106	24773
865	13119	24755
866	13132	24735
867	13146	24717
868	13160	24701
869	13174	24682
870	13187	24663
871	13202	24647
872	13215	24630
873	13230	24614
874	13243	24595
875	13257	24577
876	13270	24559
877	13285	24542
878	13297	24523
879	13311	24504
880	13324	24485
881	13337	24467
882	13350	24447
883	13363	24429
884	13377	24411
885	13390	24393
886	13405	24377
887	13419	24361
888	13433	24343
889	13447	24326
890	13460	24307
891	13475	24291
892	13488	24273
893	13502	24255
894	13515	24237
895	13528	24218
896	13544	24204
897	13558	24187
898	13573	24173
899	13589	24158
900	13602	24139
901	13617	24124
902	13632	24109
903	13647	24094
904	13664	24082
905	13678	24064
906	13693	24050
907	13707	24033
908	13723	24020
909	13737	24003
910	13754	23991
911	13768	23974
912	13782	23957
913	13796	23939
914	13809	23921
915	13823	23904
916	13837	23887
917	13851	23871
918	13865	23853
919	13879	23836
920	13893	23819
921	13907	23802
922	13921	23785
923	13936	23771
924	13953	23758
925	13970	23747
926	13984	23730
927	13999	23715
928	14014	23699
929	14028	23683
930	14043	23666
931	14056	23649
932	14071	23633
933	14085	23616
934	14100	23601
935	14114	23584
936	14128	23568
937	14144	23553
938	14158	23536
939	14171	23518
940	14185	23502
941	14201	23487
942	14216	23472
943	14230	23456
944	14244	23439
945	14258	23422
946	14271	23403
947	14285	23386
948	14298	23368
949	14312	23352
950	14328	23337
951	14341	23319
952	14355	23303
953	14369	23285
954	14384	23270
955	14398	23255
956	14413	23239
957	14430	23227
958	14445	23212
959	14460	23196
960	14475	23181
961	14490	23166
962	14504	23150
963	14519	23134
964	14533	23118
965	14547	23101
966	14561	23084
967	14575	23068
968	14590	23052
969	14605	23037
970	14618	23019
971	14633	23003
972	14652	22995
973	14668	22981
974	14681	22963
975	14695	22946
976	14709	22930
977	14724	22914
978	14739	22898
979	14753	22883
980	14770	22871
981	14788	22859
982	14803	22845
983	14820	22832
984	14836	22818
985	14852	22805
986	14867	22790
987	14882	22776
988	14900	22765
989	14914	22748
990	14931	22736
991	14949	22725
992	14965	22712
993	14983	22701
994	15000	22689
995	15016	22675
996	15031	22659
997	15043	22641
998	15060	22628
999	15077	22616
1000	15092	22601
1001	15108	22588
1002	15126	22577
1003	15144	22565
1004	15159	22550
1005	15173	22534
1006	15190	22522
1007	15206	22507
1008	15221	22493
1009	15240	22482
1010	15257	22470
1011	15271	22454
1012	15287	22440
1013	15303	22426
1014	15319	22413
1015	15335	22399
1016	15351	22385
1017	15365	22369
1018	15380	22354
1019	15395	22339
1020	15412	22326
1021	15426	22310
1022	15443	22297
1023	15459	22283
1024	15476	22270
1025	15490	22254
1026	15505	22238
1027	15522	22227
1028	15539	22213
1029	15554	22199
1030	15571	22186
1031	15586	22171
1032	15602	22158
1033	15618	22143
1034	15633	22128
1035	15650	22116
1036	15670	22107
1037	15685	22092
1038	15702	22079
1039	15717	22065
1040	15734	22051
1041	15750	22038
1042	15765	22022
1043	15780	22008
1044	15796	21993
1045	15810	21977
1046	15827	21965
1047	15843	21951
1048	15860	21937
1049	15874	21921
1050	15889	21907
1051	15903	21890
1052	15918	21874
1053	15933	21858
1054	15949	21845
1055	15965	21831
1056	15980	21816
1057	15995	21800
1058	16009	21784
1059	16025	21769
1060	16042	21758
1061	16060	21746
1062	16076	21732
1063	16092	21718
1064	16106	21701
1065	16120	21686
1066	16135	21670
1067	16151	21656
1068	16168	21643
1069	16183	21627
1070	16199	21613
1071	16218	21604
1072	16232	21588
1073	16247	21572
1074	16262	21557
1075	16277	21542
1076	16295	21530
1077	16310	21515
1078	16327	21502
1079	16343	21489
1080	16360	21475
1081	16376	21461
1082	16390	21444
1083	16404	21428
1084	16419	21413
1085	16434	21397
1086	16450	21384
1087	16465	21369
1088	16480	21353
1089	16495	21338
1090	16508	21320
1091	16523	21304
1092	16537	21288
1093	16552	21272
1094	16565	21254
1095	16580	21239
1096	16593	21222
1097	16608	21207
1098	16622	21189
1099	16636	21173
1100	16650	21157
1101	16664	21140
1102	16677	21122
1103	16691	21106
1104	16705	21089
1105	16719	21073
1106	16735	21059
1107	16748	21041
1108	16764	21027
1109	16780	21013
1110	16795	20997
1111	16810	20983
1112	16826	20968
1113	16840	20952
1114	16855	20937
1115	16869	20920
1116	16885	20906
1117	16900	20891
1118	16918	20879
1119	16933	20863
1120	16948	20849
1121	16966	20837
1122	16981	20822
1123	16996	20806
1124	17011	20791
1125	17026	20776
1126	17041	20761
1127	17056	20746
1128	17073	20732
1129	17087	20716
1130	17102	20701
1131	17116	20685
1132	17130	20668
1133	17144	20652
1134	17158	20636
1135	17173	20620
1136	17186	20602
1137	17199	20584
1138	17212	20567
1139	17225	20550
1140	17240	20534
1141	17255	20518
1142	17269	20502
1143	17282	20485
1144	17298	20471
1145	17313	20456
1146	17330	20442
1147	17344	20427
1148	17359	20411
1149	17372	20393
1150	17385	20376
1151	17400	20361
1152	17416	20346
1153	17430	20330
1154	17444	20313
1155	17457	20296
1156	17470	20278
1157	17483	20261
1158	17498	20245
1159	17511	20228
1160	17524	20211
1161	17538	20194
1162	17551	20177
1163	17566	20162
1164	17579	20145
1165	17593	20128
1166	17606	20111
1167	17620	20094
1168	17648	20094
1169	17662	20078
1170	17676	20061
1171	17688	20043
1172	17702	20026
1173	17716	20010
1174	17729	19993
1175	17742	19975
1176	17755	19958
1177	17770	19943
1178	17786	19928
1179	17802	19914
1180	17817	19899
1181	17834	19886
1182	17849	19871
1183	17865	19856
1184	17879	19841
1185	17894	19826
1186	17911	19813
1187	17926	19797
1188	17942	19783
1189	17956	19767
1190	17971	19752
1191	17985	19735
1192	17999	19719
1193	18013	19702
1194	18026	19686
1195	18040	19669
1196	18054	19652
1197	18069	19638
1198	18083	19621
1199	18097	19605
1200	18111	19589
1201	18126	19573
1202	18144	19562
1203	18158	19546
1204	18171	19529
1205	18185	19512
1206	18198	19495
1207	18213	19479
1208	18227	19463
1209	18243	19449
1210	18257	19433
1211	18271	19416
1212	18284	19400
1213	18300	19385
1214	18313	19368
1215	18329	19354
1216	18344	19339
1217	18358	19323
1218	18374	19308
1219	18388	19292
1220	18402	19276
1221	18417	19261
1222	18432	19246
1223	18446	19229
1224	18460	19214
1225	18475	19198
1226	18489	19182
1227	18505	19169
1228	18520	19153
1229	18534	19136
1230	18548	19121
1231	18565	19107
1232	18580	19092
1233	18595	19078
1234	18610	19062
1235	18625	19047
1236	18641	19033
1237	18655	19017
1238	18669	19000
1239	18683	18984
1240	18698	18969
1241	18713	18954
1242	18727	18938
1243	18742	18923
1244	18755	18906
1245	18770	18890
1246	18783	18874
1247	18800	18860
1248	18815	18845
1249	18829	18829
1250	18843	18813
1251	18856	18796
1252	18870	18780
1253	18885	18765
1254	18900	18750
1255	18914	18733
1256	18929	18718
1257	18943	18702
1258	18957	18686
1259	18971	18670
1260	18985	18654
1261	19000	18638
1262	19013	18622
1263	19027	18606
1264	19042	18591
1265	19056	18574
1266	19070	18558
1267	19084	18542
1268	19098	18527
1269	19112	18510
1270	19126	18494
1271	19141	18479
1272	19158	18465
1273	19174	18452
1274	19192	18439
1275	19211	18428
1276	19225	18412
1277	19239	18396
1278	19252	18379
1279	19267	18364
1280	19280	18347
1281	19295	18332
1282	19311	18318
1283	19328	18304
1284	19343	18289
1285	19359	18275
1286	19375	18261
1287	19390	18246
1288	19407	18232
1289	19423	18219
1290	19439	18204
1291	19454	18189
1292	19470	18175
1293	19485	18160
1294	19500	18144
1295	19517	18131
1296	19535	18119
1297	19551	18105
1298	19566	18090
1299	19581	18075
1300	19596	18060
1301	19612	18045
1302	19626	18029
1303	19640	18014
1304	19654	17997
1305	19670	17983
1306	19683	17967
1307	19698	17951
1308	19715	17938
1309	19731	17923
1310	19745	17908
1311	19760	17892
1312	19774	17876
1313	19787	17859
1314	19801	17844
1315	19815	17827
1316	19831	17813
1317	19846	17798
1318	19860	17782
1319	19874	17766
1320	19888	17750
1321	19902	17734
1322	19917	17719
1323	19932	17704
1324	19947	17689
1325	19961	17673
1326	19978	17659
1327	19992	17643
1328	20006	17628
1329	20021	17612
1330	20035	17597
1331	20051	17582
1332	20065	17566
1333	20083	17554
1334	20097	17538
1335	20114	17524
1336	20129	17509
1337	20145	17495
1338	20161	17481
1339	20178	17468
1340	20193	17452
1341	20209	17438
1342	20224	17423
1343	20239	17408
1344	20255	17394
1345	20269	17377
1346	20283	17361
1347	20298	17346
1348	20314	17332
1349	20329	17317
1350	20344	17302
1351	20359	17287
1352	20372	17270
1353	20385	17254
1354	20399	17237
1355	20413	17222
1356	20428	17206
1357	20444	17192
1358	20457	17176
1359	20472	17160
1360	20485	17144
1361	20504	17132
1362	20521	17119
1363	20536	17103
1364	20553	17090
1365	20572	17078
1366	20587	17063
1367	20603	17049
1368	20620	17035
1369	20636	17021
1370	20651	17006
1371	20666	16991
1372	20681	16976
1373	20696	16960
1374	20710	16945
1375	20726	16930
1376	20742	16916
1377	20759	16903
1378	20774	16888
1379	20790	16873
1380	20805	16858
1381	20821	16844
1382	20836	16828
1383	20854	16816
1384	20869	16801
1385	20885	16787
1386	20903	16774
1387	20919	16759
1388	20935	16745
1389	20952	16731
1390	20968	16717
1391	20983	16702
1392	20999	16687
1393	21014	16673
1394	21028	16657
1395	21045	16643
1396	21063	16630
1397	21081	16617
1398	21099	16605
1399	21117	16591
1400	21132	16577
1401	21147	16561
1402	21162	16546
1403	21177	16531
1404	21193	16517
1405	21208	16502
1406	21225	16488
1407	21241	16474
1408	21257	16460
1409	21271	16444
1410	21287	16429
1411	21305	16416
1412	21322	16403
1413	21340	16389
1414	21355	16375
1415	21371	16360
1416	21385	16345
1417	21411	16338
1418	21435	16330
1419	21452	16316
1420	21469	16302
1421	21485	16287
1422	21500	16272
1423	21523	16263
1424	21540	16249
1425	21559	16237
1426	21574	16222
1427	21592	16209
1428	21611	16197
1429	21630	16185
1430	21649	16172
1431	21666	16158
1432	21682	16144
1433	21700	16131
1434	21720	16120
1435	21738	16106
1436	21754	16092
1437	21770	16077
1438	21785	16063
1439	21802	16049
1440	21818	16034
1441	21834	16019
1442	21849	16004
1443	21868	15992
1444	21887	15980
1445	21907	15968
1446	21929	15958
1447	21952	15948
1448	21971	15936
1449	21989	15923
1450	22011	15913
1451	22030	15900
1452	22045	15885
1453	22064	15873
1454	22084	15861
1455	22102	15848
1456	22121	15835
1457	22141	15823
1458	22159	15811
1459	22181	15800
1460	22202	15789
1461	22223	15778
1462	22248	15769
1463	22267	15757
1464	22289	15747
1465	22308	15734
1466	22331	15725
1467	22352	15713
1468	22368	15699
1469	22386	15685
1470	22404	15672
1471	22422	15658
1472	22437	15644
1473	22455	15630
1474	22472	15616
1475	22489	15602
1476	22507	15589
1477	22530	15579
1478	22548	15565
1479	22565	15551
1480	22584	15539
1481	22601	15525
1482	22619	15511
1483	22634	15496
1484	22653	15484
1485	22669	15468
1486	22686	15455
1487	22703	15441
1488	22722	15428
1489	22742	15416
1490	22758	15401
1491	22774	15386
1492	22791	15372
1493	22808	15358
1494	22824	15343
1495	22841	15329
1496	22857	15314
1497	22873	15299
1498	22887	15283
1499	22905	15270
1500	22921	15255
1501	22951	15249
1502	22977	15241
1503	23000	15231
1504	23040	15232
1505	23063	15222
1506	23082	15209
1507	23100	15196
1508	23118	15182
1509	23174	15193
1510	23207	15189
1511	23242	15187
1512	23265	15177
1513	23397	15237
1514	23460	15253
1515	23490	15247
1516	23516	15238
1517	23542	15229
1518	23568	15220
1519	23591	15210
1520	23613	15199
1521	23637	15189
1522	23659	15177
1523	23683	15167
1524	23704	15155
1525	23725	15143
1526	23745	15130
1527	23764	15116
1528	23781	15102
1529	23800	15089
1530	23818	15074
1531	23833	15059
1532	23848	15043
1533	23869	15031
1534	23889	15018
1535	23907	15004
1536	23928	14992
1537	23948	14979
1538	23967	14966
1539	23986	14952
1540	24006	14939
1541	24027	14927
1542	24051	14917
1543	24073	14905
1544	24100	14896
1545	24118	14882
1546	24139	14870
1547	24169	14864
1548	24203	14859
1549	24225	14847
1550	24249	14837
1551	24274	14827
1552	24301	14818
1553	24325	14808
1554	24350	14798
1555	24373	14786
1556	24398	14777
1557	24418	14763
1558	24441	14752
1559	24465	14742
1560	24488	14730
1561	24507	14716
1562	24525	14702
1563	24545	14689
1564	24565	14676
1565	24583	14662
1566	24605	14650
1567	24630	14639
1568	24648	14625
1569	24670	14613
1570	24694	14603
1571	24716	14591
1572	24735	14577
1573	24753	14562
1574	24771	14548
1575	24790	14534
1576	24810	14521
1577	24829	14507
1578	24847	14492
1579	24866	14479
1580	24890	14468
1581	24907	14453
1582	24926	14439
1583	24945	14425
1584	24968	14413
1585	24991	14402
1586	25007	14386
1587	25024	14371
1588	25044	14358
1589	25062	14344
1590	25079	14328
1591	25098	14314
1592	25114	14299
1593	25130	14283
1594	25144	14267
1595	25159	14250
1596	25175	14235
1597	25193	14220
1598	25209	14204
1599	25224	14188
1600	25240	14173
1601	25257	14158
1602	25275	14143
1603	25291	14128
1604	25305	14111
1605	25321	14095
1606	25336	14079
1607	25349	14062
1608	25364	14045
1609	25379	14029
1610	25393	14012
1611	25408	13996
1612	25421	13979
1613	25435	13962
1614	25450	13946
1615	25465	13930
1616	25478	13913
1617	25493	13896
1618	25510	13881
1619	25524	13865
1620	25539	13849
1621	25553	13832
1622	25568	13816
1623	25583	13800
1624	25601	13785
1625	25616	13769
1626	25632	13753
1627	25649	13738
1628	25666	13723
1629	25683	13708
1630	25699	13692
1631	25712	13675
1632	25727	13659
1633	25741	13642
1634	25756	13626
1635	25771	13610
1636	25786	13594
1637	25801	13578
1638	25815	13561
1639	25829	13544
1640	25847	13530
1641	25864	13515
1642	25880	13499
1643	25897	13484
1644	25923	13473
1645	25942	13459
1646	25961	13445
1647	25979	13431
1648	25993	13414
1649	26008	13398
1650	26024	13382
1651	26040	13367
1652	26055	13351
1653	26087	13343
1654	26102	13327
1655	26117	13311
1656	26134	13295
1657	26151	13280
1658	26170	13266
1659	26187	13251
1660	26206	13237
1661	26222	13221
1662	26239	13206
1663	26254	13190
1664	26270	13174
1665	26287	13159
1666	26303	13143
1667	26320	13128
1668	26340	13114
1669	26360	13101
